Channel,Importance
Channel 7,1.0255836e-06
Channel 6,1.0019423e-06
Channel 15,8.666904e-07
Channel 14,8.397781e-07
Channel 11,7.7549873e-07
Channel 3,7.6153503e-07
Channel 16,7.5900795e-07
Channel 9,7.4197027e-07
Channel 8,7.207313e-07
Channel 18,6.9329064e-07
Channel 12,6.6492385e-07
Channel 5,6.606809e-07
Channel 4,6.204817e-07
Channel 17,6.1820924e-07
Channel 10,5.917682e-07
Channel 2,5.910225e-07
Channel 13,5.6519656e-07
Channel 1,5.285131e-07
Channel 0,4.427422e-07
Channel 19,4.2245628e-07
Channel 20,3.1791805e-07
