feature,weight
-0.09 < Ch17_t704-719 <= 0.57,0.016927045975660245
Ch18_t2000-2015 > 0.55,0.01683258519843404
Ch3_t368-383 > 0.51,-0.016505326209038964
Ch7_t368-383 > 0.83,-0.01622265809562873
-0.38 < Ch16_t1680-1695 <= -0.01,0.016032727263140034
Ch3_t1168-1183 > 0.46,-0.015703219651950855
Ch3_t560-575 > 0.38,-0.015015731121734587
Ch8_t1760-1775 > 0.59,0.014992413775377132
0.08 < Ch1_t2224-2239 <= 0.61,0.014265991305600209
Ch3_t1200-1215 <= -0.36,0.014072028464733015
Ch10_t2208-2223 > 0.73,0.013343200135109127
Ch7_t1488-1503 <= -0.44,0.012194242656863252
Ch13_t720-735 <= -0.60,-0.012179710094606468
0.03 < Ch0_t2384-2399 <= 0.41,-0.0069256903552443365
Ch9_t272-287 <= -0.33,-0.0065875861674803094
-0.07 < Ch18_t640-655 <= 0.62,0.006237331295762674
0.05 < Ch7_t1792-1807 <= 0.43,0.005495576204778296
Ch2_t2320-2335 <= -0.64,0.005198497197872189
Ch15_t432-447 > 0.37,0.004704190554872925
Ch20_t624-639 <= -0.27,0.0002739210417233624
