feature,channel,time_start,time_end,importance,value
Ch1_t128-256,1,128,256,1.4132809083779079e-06,0.5596863855693499
Ch0_t1792-1920,0,1792,1920,1.3157175051591092e-06,-0.036576311957578926
Ch1_t256-384,1,256,384,1.2942365296396705e-06,-0.21484919996718438
Ch1_t2432-2560,1,2432,2560,1.293257640824761e-06,-1.8690659994103822
Ch1_t2304-2432,1,2304,2432,1.2836142208543433e-06,-1.0624151459820361
Ch2_t256-384,2,256,384,1.2435058267202673e-06,0.535193928249529
Ch3_t2176-2304,3,2176,2304,1.208324761726814e-06,-0.7879587790592022
Ch0_t256-384,0,256,384,1.1821362042595285e-06,-0.26276741772636275
Ch3_t1792-1920,3,1792,1920,1.1622801272344567e-06,0.937805502788238
Ch5_t2432-2560,5,2432,2560,1.1391201509108891e-06,-0.7627615762403919
Ch5_t1152-1280,5,1152,1280,1.1346604053450856e-06,0.8585973279397452
Ch0_t2432-2560,0,2432,2560,1.1291273269475907e-06,-0.7163434048313403
Ch5_t1024-1152,5,1024,1152,1.1175629568521198e-06,-0.15241608176526933
Ch7_t0-128,7,0,128,1.1109395972035035e-06,-1.2941274704413268
Ch1_t1024-1152,1,1024,1152,1.0984143840396482e-06,0.3237142807803108
Ch2_t2432-2560,2,2432,2560,1.0901520478608942e-06,-0.13781986911453073
Ch4_t1536-1664,4,1536,1664,1.089684135919258e-06,-0.3382362854953853
Ch4_t1664-1792,4,1664,1792,1.0733840471616715e-06,1.4422167637039445
Ch0_t1024-1152,0,1024,1152,1.0714715698726376e-06,0.5806775019962356
Ch7_t2048-2176,7,2048,2176,1.066744929786753e-06,0.3627706100066765
